,ADI,AMD,AMKR,ENTG,FORM,FSLR,INTC,IPGP,KLIC,LSCC,MCHP,MPWR,MRVL,MU,OLED,ONTO,POWI,RMBS,SIMO,SLAB,SMTC,SPWR,STM,SWKS,TSEM,TSM,TXN,UCTT,UMC,XLNX,XPER
2021-07-13,165.9393613802,90.26,22.7982811054,117.5683784385,35.26,92.79,56.1180165663,207.96,53.9312143399,53.07,71.5483966631,386.4990680444,56.678005592,78.2556210727,214.5262032032,70.33,81.7149005168,23.11,62.9556939139,148.69,65.48,28.05,38.0729183409,188.3236684818,27.52,122.8698399452,189.002580984,51.07,9.5232927687,133.7107783588,20.0375394974
2021-07-14,164.8480466755,89.05,22.678709701,117.66824964,35.13,90.04,55.7726445635,208.89,53.0258941951,52.72,71.3545255125,381.9303088971,55.9192371536,78.2955219629,211.9022430394,68.15,81.7647692465,22.99,62.2834283382,147.35,64.4,23.94,39.0205021088,190.3004809108,27.21,123.3557658659,189.0816615618,50.27,9.406918519,132.4930480692,19.7390657214
2021-07-15,162.3677859828,86.93,22.5192811618,114.8219203965,34.35,85.6,55.0720327865,207.65,52.4289798139,51.57,68.3271529309,378.5785554614,55.6097395011,76.7294120192,208.4601660184,66.1,79.7400988199,22.89,62.2834283382,144.32,62.44,23.5,38.023045511,189.2177042537,26.71,116.5528029762,186.0963697492,48.35,9.1838678737,129.4686851368,19.8286078542
2021-07-16,159.1732102107,85.89,21.8217813028,112.1154108351,33.84,83.49,54.2431399798,205.88,50.429316637,50.25,66.4928335833,378.5286781782,53.8825429241,74.8241445081,204.0203855131,63.69,78.0645095014,22.59,60.5137880727,140.23,60.92,22.65,37.5143426461,186.8634100544,26.09,114.7776858374,183.9809642926,45.81,9.1450764572,128.3906943886,19.6694218403
2021-07-19,157.7247379662,86.58,21.2737456993,112.4050373195,33.96,83.05,53.91750352,201.86,51.454019658,50.44,65.607985768,379.8055366298,54.7111979292,74.3952099375,204.6389616734,63.96,78.0246145176,22.51,59.1395981459,140.54,59.7,23.34,36.9557669512,185.9097718977,26.17,114.390928472,184.0995851593,46.69,8.9899107909,129.0893920957,19.4505410712
2021-07-20,159.6394992209,87.11,22.2303169345,116.3399626597,34.48,82.68,54.5095698105,208.14,52.7174884315,51.86,68.1183686149,391.3970172613,56.4683458919,75.2032029658,211.6927253077,64.9,79.7700200578,22.73,59.9304988232,143.18,60.93,24.14,36.8460467255,188.164728789,26.66,115.432198302,185.6120012101,49.87,9.067493624,130.8560991553,19.9082008611
2021-07-21,163.5384690298,89.41,23.0274596305,119.4759183877,36.4,85.19,55.4864791898,214.21,54.6873058894,54.42,69.9228616315,404.3052581711,58.2354776498,76.9987430287,218.1678209211,67.63,84.2781532243,23.05,61.1069635807,147.66,61.96,25.43,38.4120535841,191.721004415,27.37,116.8899760641,192.0076429411,52.47,9.16,135.0782295857,20.7240291823
2021-07-22,160.7407349685,91.21,22.7982811054,118.257489729,36.08,83.68,55.2200493591,212.09,54.1600315194,53.27,68.7894610591,404.0059944715,57.8860448164,75.3428560818,219.6543991127,66.18,82.0839291167,22.95,60.4248117465,144.11,60.76,24.55,37.9831472471,189.7739931784,26.84,115.5908679904,181.7963633304,51.41,9.43,136.2161087088,20.29621677
2021-07-23,162.2586545124,92.15,22.8879596587,119.5558153489,36.32,82.95,52.2991889927,215.46,54.2993115416,54.03,69.207029691,413.2432673328,58.8245215692,75.7518402072,222.3382214856,67.2,84.2183107487,23.11,61.2849162331,145.65,61.28,23.75,38.8808581851,191.3832575678,27.04,115.8189556675,185.7108519324,51.88,9.43,137.6035227273,20.5051484132
2021-07-26,162.6058910093,91.82,22.8481025239,118.6070389344,36.0,81.35,53.5918670603,212.83,54.5380772941,53.36,69.2915376285,411.9265070545,58.8544729549,76.1109482198,216.7510819733,66.67,84.2083370027,23.17,60.879579636,142.9,60.94,23.7,39.2997899563,191.5123960682,26.83,114.6884341377,187.1122557387,51.14,9.49,135.1880249397,20.3360132734
2021-07-27,161.3062344064,91.03,23.4061024111,116.3699240202,34.79,81.36,52.4768088798,201.32,52.6378998474,52.46,67.5814946595,406.2604476752,57.8860448164,74.036101925,212.7103828617,64.48,80.9170008413,22.85,59.5350484845,138.04,59.32,23.11,38.6514431676,186.9130787084,26.2,112.5959776221,184.0013380692,49.81,9.23,130.7562851971,19.9778447422
2021-07-28,162.7447856081,97.93,24.4025307811,119.7079139397,36.3,83.48,52.3682633933,209.69,53.4238371159,54.01,68.540908302,429.9421817709,58.8944081359,75.362806527,219.9337560884,67.04,82.2534827978,23.23,60.8894658944,142.45,60.6,24.23,39.2299679944,190.7971674507,26.64,114.1132565173,185.7108519324,51.81,9.47,138.2822576428,20.4056571545
2021-07-29,165.2250463007,102.95,24.4025307811,120.0776912661,36.09,83.74,52.9899329983,214.32,54.3590029798,55.17,70.1067906718,438.9799454991,60.2122691079,76.8890155804,231.5270705764,68.18,84.7868142675,23.52,63.5686419388,144.45,61.54,24.63,41.6039146973,195.3666836181,27.66,115.1842769139,188.6726840905,53.15,10.19,146.976053399,20.8135713151
2021-07-30,166.0980980646,106.19,24.5519950366,120.567396374,37.26,86.04,53.0096685413,218.16,54.0804429352,56.75,71.1457411965,448.1573656204,60.4119450127,77.3877767089,233.9514900434,70.08,96.735361908,23.66,74.1370522394,148.99,61.91,24.77,41.1650337943,183.2872669669,27.85,115.6702028346,189.4578677835,54.01,10.53,149.5612349155,20.6643344271
